                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2814,                  4.712,                0.89613,                0.40891,                0.36032,                0.37979,                0.16589,                 1.9844,                 1.6925,                0.86737,               0.067367,             0.00032963,             0.00032963
                      2,                 1.9761,                 1.6576,                0.84732,                0.56627,                 0.4823,                0.52545,                0.24668,                  1.671,                 1.5335,                0.86032,               0.034334,             0.00063015,             0.00063015
                      3,                 1.9717,                  1.888,                0.85507,                 0.5692,                0.59063,                0.60733,                0.29212,                 1.7865,                 1.3047,                0.86045,               0.001268,             0.00089766,             0.00089766
                      4,                 2.0698,                 1.3637,                0.83645,                0.69801,                0.52123,                0.66069,                0.32241,                 1.6662,                 1.0284,                0.86006,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.7721,                 1.2493,                0.82134,                0.67065,                0.52503,                0.70287,                0.39024,                 1.4908,                  1.007,                0.83699,               0.000802,               0.000802,               0.000802
                      6,                 1.7147,                  1.127,                0.81726,                0.75852,                0.59908,                0.68603,                0.39028,                 1.3828,                0.91689,                 0.8411,              0.0007525,              0.0007525,              0.0007525
                      7,                  1.634,                0.92304,                 0.8183,                0.77223,                0.42873,                0.69581,                0.39888,                  1.343,                0.82028,                0.82561,               0.000703,               0.000703,               0.000703
                      8,                 1.6831,                0.93825,                0.81122,                 0.6579,                0.61039,                0.71295,                0.39399,                 1.4226,                0.80961,                0.82539,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.5606,                0.87767,                0.80326,                0.73793,                0.65958,                0.71206,                0.35137,                 1.3929,                0.75533,                0.82481,               0.000604,               0.000604,               0.000604
                     10,                  1.536,                0.82738,                0.81215,                0.74147,                0.65278,                0.71274,                0.41194,                 1.2776,                0.73114,                0.82657,              0.0005545,              0.0005545,              0.0005545
                     11,                 1.4538,                0.86359,                0.81212,                0.66184,                0.58972,                0.67455,                 0.3456,                 1.4457,                0.77369,                0.83339,               0.000505,               0.000505,               0.000505
                     12,                  1.478,                0.84831,                0.82109,                0.72804,                0.64027,                0.71381,                0.40312,                 1.2678,                0.68142,                 0.8253,              0.0004555,              0.0004555,              0.0004555
                     13,                 1.4267,                0.77413,                0.81353,                0.70182,                0.61169,                0.67043,                0.40039,                 1.2846,                0.68845,                 0.8275,               0.000406,               0.000406,               0.000406
                     14,                  1.341,                0.77455,                0.80023,                0.72058,                0.64485,                0.71991,                0.42006,                 1.2656,                0.75376,                0.82186,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.3536,                0.73317,                0.79988,                0.72992,                0.64657,                0.72897,                0.45602,                 1.2483,                0.63328,                0.82162,               0.000307,               0.000307,               0.000307
                     16,                 1.3558,                0.67193,                0.80865,                0.69248,                0.62635,                0.70724,                0.45828,                 1.1491,                 0.6145,                0.81737,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.2716,                0.67169,                0.80048,                 0.9647,                  0.638,                0.87719,                0.55354,                  1.111,                 0.5791,                0.81493,               0.000208,               0.000208,               0.000208
                     18,                 1.1878,                0.63222,                0.79532,                0.87688,                0.64284,                0.82992,                0.54813,                 1.0903,                0.57329,                0.81355,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.2039,                 0.6036,                0.80604,                 0.9025,                0.68312,                0.85517,                0.57091,                 1.0943,                0.55609,                0.81459,               0.000109,               0.000109,               0.000109
                     20,                 1.1679,                0.57115,                0.81143,                0.94633,                0.67778,                0.86847,                0.58843,                 1.0547,                0.56137,                0.81232,               5.95e-05,               5.95e-05,               5.95e-05
